Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
14070.92988,0,0.265464937,0.444104473,0,1323.621539
13577.98846,0,0.260695691,0.43183186,0,1323.621539
12686.40976,0,0.22941631,0.385352714,0,1323.621539
12528.97243,0,0.226821941,0.381835642,0,1323.621539
12421.12808,0,0.227400915,0.362774827,0,1323.621539
12395.56201,0,0.216317383,0.350800099,0,1323.621539
12388.75285,0,0.205061266,0.350195289,0,1323.621539
12459.39046,0,0.19436351,0.373809845,0,1323.621539
12406.91511,0,0.182723394,0.382975856,0,1323.621539
12683.20377,0,0.170103078,0.363734382,0,1323.621539
13046.27185,0,0.158574373,0.365240195,0,1323.621539
