 256   1.54478610e+05  1.56055835e+05  6.38e-04 3.94e-05  1.47e-04  11051s
 257   1.54478263e+05  1.56052766e+05  6.29e-04 3.93e-05  1.45e-04  11096s
 258   1.54478238e+05  1.56051395e+05  6.27e-04 3.93e-05  1.45e-04  11154s
 259   1.54478051e+05  1.56046376e+05  6.22e-04 3.92e-05  1.43e-04  11192s
 260   1.54477632e+05  1.56044299e+05  6.12e-04 3.91e-05  1.41e-04  11232s
 261   1.54477549e+05  1.56041665e+05  6.10e-04 3.90e-05  1.40e-04  11274s
 262   1.54477394e+05  1.56036762e+05  6.05e-04 3.89e-05  1.38e-04  11310s
 263   1.54477190e+05  1.56031346e+05  5.99e-04 3.88e-05  1.37e-04  11349s
 264   1.54477107e+05  1.56028501e+05  5.97e-04 3.87e-05  1.36e-04  11390s
 265   1.54477068e+05  1.56025397e+05  5.96e-04 3.86e-05  1.36e-04  11427s
 266   1.54476988e+05  1.56024775e+05  5.92e-04 3.86e-05  1.35e-04  11505s
 267   1.54476823e+05  1.56021968e+05  5.88e-04 3.86e-05  1.34e-04  11555s
 268   1.54476613e+05  1.56017136e+05  5.82e-04 3.84e-05  1.33e-04  11645s
 269   1.54476302e+05  1.56012243e+05  5.74e-04 3.83e-05  1.31e-04  11695s
 270   1.54475993e+05  1.56002295e+05  5.63e-04 3.81e-05  1.28e-04  11786s
 271   1.54475840e+05  1.56000297e+05  5.59e-04 3.80e-05  1.27e-04  11829s
 272   1.54475505e+05  1.55992705e+05  5.49e-04 3.78e-05  1.24e-04  11894s
 273   1.54475224e+05  1.55988195e+05  5.41e-04 3.77e-05  1.23e-04  11932s
 274   1.54475116e+05  1.55983638e+05  5.38e-04 3.76e-05  1.22e-04  11973s
 275   1.54475017e+05  1.55981719e+05  5.36e-04 3.75e-05  1.21e-04  12012s
 276   1.54474826e+05  1.55978423e+05  5.31e-04 3.75e-05  1.20e-04  12066s
 277   1.54474693e+05  1.55975334e+05  5.28e-04 3.74e-05  1.19e-04  12108s
 278   1.54474595e+05  1.55972323e+05  5.25e-04 3.73e-05  1.18e-04  12151s
 279   1.54474323e+05  1.55969571e+05  5.18e-04 3.72e-05  1.17e-04  12200s
 280   1.54474139e+05  1.55967081e+05  5.13e-04 3.72e-05  1.16e-04  12236s
 281   1.54473813e+05  1.55964810e+05  5.04e-04 3.71e-05  1.15e-04  12278s
 282   1.54473630e+05  1.55960219e+05  5.00e-04 3.70e-05  1.13e-04  12328s
 283   1.54473589e+05  1.55959589e+05  4.97e-04 3.70e-05  1.13e-04  12384s
 284   1.54473267e+05  1.55954604e+05  4.89e-04 3.69e-05  1.11e-04  12435s
 285   1.54473302e+05  1.55953601e+05  4.88e-04 3.68e-05  1.11e-04  12511s
